Feature,Coefficient,Abs_Coefficient
No_Of_Companies_worked Number_of_Publications,13284.268525727899,13284.268525727899
Passing_Year_Of_PHD,13263.18429127893,13263.18429127893
Industry_encoded Education_Level_encoded^2,13209.083140939445,13209.083140939445
Passing_Year_Of_PG No_Of_Companies_worked,13121.014395811157,13121.014395811157
Current_CTC Role_encoded Organization_encoded,-13120.402572992807,13120.402572992807
Passing_Year_Of_Graduation Current_CTC Designation_encoded,13109.71191899023,13109.71191899023
Total_Experience Total_Experience_in_field_applied Department_encoded,-13109.29962919936,13109.29962919936
Total_Experience Passing_Year_Of_Graduation Current_CTC,-13050.21880717566,13050.21880717566
Passing_Year_Of_PHD^2,-12978.237889476022,12978.237889476022
Current_CTC Organization_encoded Designation_encoded,-12961.638244881939,12961.638244881939
Total_Experience Total_Experience_in_field_applied Passing_Year_Of_PHD,-12939.988707964923,12939.988707964923
Passing_Year_Of_Graduation Current_CTC Role_encoded,12905.290854577202,12905.290854577202
Passing_Year_Of_PHD Graduation_Specialization_encoded,-12895.823182586397,12895.823182586397
Current_CTC University_PHD_encoded Education_Level_encoded,-12802.272004084729,12802.272004084729
Total_Experience Passing_Year_Of_Graduation Preferred_location_encoded,-12796.196881097967,12796.196881097967
Passing_Year_Of_PG,12736.711759340706,12736.711759340706
Total_Experience_in_field_applied PHD_Specialization_encoded,-12716.652594766922,12716.652594766922
Total_Experience Current_CTC Number_of_Publications,-12691.851177302065,12691.851177302065
Total_Experience Industry_encoded,12657.61408500057,12657.61408500057
Passing_Year_Of_Graduation Current_CTC Department_encoded,12630.903994538465,12630.903994538465
Passing_Year_Of_PG PHD_Specialization_encoded,-12598.817598083484,12598.817598083484
Passing_Year_Of_Graduation Current_CTC Curent_Location_encoded,12578.244404899398,12578.244404899398
Current_CTC Inhand_Offer Performance_Score,-12575.649061986122,12575.649061986122
Total_Experience Inhand_Offer Performance_Score,-12574.143835925377,12574.143835925377
Passing_Year_Of_PG University_PHD_encoded,-12522.261985374578,12522.261985374578
Current_CTC^2 University_PHD_encoded,-12512.562139620613,12512.562139620613
Total_Experience Has_PG Education_Level_encoded,-12470.39928502137,12470.39928502137
Total_Experience Total_Experience_in_field_applied Organization_encoded,-12424.091851822881,12424.091851822881
Total_Experience Total_Experience_in_field_applied Passing_Year_Of_PG,-12417.88929894129,12417.88929894129
Total_Experience Has_PHD,12374.270156616274,12374.270156616274
Passing_Year_Of_Graduation^2 Number_of_Publications,-12314.684851718883,12314.684851718883
Passing_Year_Of_Graduation Has_PG^2,-12276.24742044302,12276.24742044302
Passing_Year_Of_Graduation,12245.3283103917,12245.3283103917
Passing_Year_Of_PHD University_Grad_encoded,-12203.931205692807,12203.931205692807
Total_Experience^2 Department_encoded,12147.802897550273,12147.802897550273
Current_CTC Role_encoded Designation_encoded,-12099.04651177458,12099.04651177458
Role_encoded^2 Industry_encoded,12051.642690341214,12051.642690341214
Total_Experience Has_PHD Education_Level_encoded,-12005.620893483892,12005.620893483892
Passing_Year_Of_Graduation Field_Specialization_Ratio,-11855.64552524206,11855.64552524206
Passing_Year_Of_Graduation^2 Education_Level_encoded,-11801.284632898476,11801.284632898476
Total_Experience^2 Certifications,11741.676458278182,11741.676458278182
Passing_Year_Of_PHD Has_PHD^2,11728.500595817137,11728.500595817137
Current_CTC Performance_Score Education_Level_encoded,-11689.435092125039,11689.435092125039
Passing_Year_Of_Graduation Has_PG Has_PHD,-11570.927079834044,11570.927079834044
Total_Experience Passing_Year_Of_PG^2,-11540.413447146795,11540.413447146795
Total_Experience No_Of_Companies_worked,-11426.61000032418,11426.61000032418
Passing_Year_Of_Graduation^2 Field_Specialization_Ratio,11358.878914538853,11358.878914538853
Total_Experience_in_field_applied Performance_Score,11342.365755904897,11342.365755904897
Total_Experience Total_Experience_in_field_applied Designation_encoded,-11239.13795226953,11239.13795226953
Passing_Year_Of_Graduation^2 Has_PG,11159.326321996843,11159.326321996843
Passing_Year_Of_Graduation Passing_Year_Of_PG Education_Level_encoded,-11089.698403059627,11089.698403059627
Number_of_Publications Graduation_Specialization_encoded,-11076.963779411028,11076.963779411028
Current_CTC Number_of_Publications Organization_encoded,-11059.264897100336,11059.264897100336
Passing_Year_Of_PG Performance_Score^2,11012.457779507424,11012.457779507424
Field_Specialization_Ratio Role_encoded Organization_encoded,-10955.200059568308,10955.200059568308
